source,network_type,simplify,retain_all,building_mode,open_ground,B,NB,total,Ed,Eu,og_nodes,og_edges,b_edges,n_comp,lc_ratio,score
snap=current query=point:d=1500 net=walk,walk,False,False,add,off,880,8608,9488,20948,10474,0,0,1760,1,1.0,5.2365
snap=current query=point:d=1500 net=walk,walk,False,False,add,add,880,8732,9612,21196,10598,124,248,1760,1,1.0,5.3063
snap=current query=point:d=1500 net=walk,walk,False,True,add,off,880,8919,9799,21556,10778,0,0,1760,25,0.9656,5.4107
snap=current query=point:d=1500 net=walk,walk,False,True,add,add,880,9048,9928,21814,10907,129,258,1760,25,0.9651,5.4833
snap=current query=point:d=2000 net=walk,walk,True,False,tag,off,1531,4221,5752,14554,7326,0,0,0,1,1.0,5.5661
snap=current query=point:d=2000 net=walk,walk,True,False,tag,add,1531,4376,5907,14864,7481,155,310,0,1,1.0,5.6173
snap=current query=point:d=2000 net=walk,walk,True,True,tag,off,1551,4351,5902,14802,7451,0,0,0,46,0.9746,5.6819
snap=current query=point:d=2000 net=walk,walk,True,True,tag,add,1551,4513,6064,15126,7613,162,324,0,46,0.9736,5.7354
snap=current query=point:d=2000 net=walk,walk,True,False,add,off,2021,5752,7773,18596,9347,0,0,4042,1,1.0,7.944
snap=current query=point:d=2000 net=walk,walk,True,True,add,off,2021,5902,7923,18844,9472,0,0,4042,46,0.9725,8.0254
snap=current query=point:d=2000 net=walk,walk,True,False,add,add,2021,5912,7933,18916,9507,160,320,4042,1,1.0,8.0341
snap=current query=point:d=2000 net=walk,walk,True,True,add,add,2021,6070,8091,19180,9640,168,336,4042,46,0.9717,8.1199
snap=current query=point:d=2000 net=walk,walk,False,False,tag,off,1724,14559,16283,35616,17808,0,0,0,1,1.0,10.7578
snap=current query=point:d=2000 net=walk,walk,False,False,tag,add,1724,14732,16456,35962,17981,173,346,0,1,1.0,10.845
snap=current query=point:d=2000 net=walk,walk,False,True,tag,off,1740,14986,16726,36450,18225,0,0,0,46,0.9735,11.0304
snap=current query=point:d=2000 net=walk,walk,False,True,tag,add,1740,15165,16905,36808,18404,179,358,0,46,0.973,11.1207
snap=current query=point:d=2000 net=walk,walk,False,False,add,off,2021,16283,18304,39658,19829,0,0,4042,1,1.0,12.717
snap=current query=point:d=2000 net=walk,walk,False,False,add,add,2021,16456,18477,40004,20002,173,346,4042,1,1.0,12.8043
