source,network_type,simplify,retain_all,building_mode,open_ground,B,NB,total,Ed,Eu,og_nodes,og_edges,b_edges,n_comp,lc_ratio,score
snap=current query=point:d=2500 net=walk,walk,True,True,tag,off,834,6732,7566,22128,11096,0,0,0,57,0.9648,3.3433
snap=current query=point:d=1500 net=walk,walk,False,True,add,add,583,8067,8650,20588,10294,145,290,1166,30,0.964,3.3863
snap=current query=place net=walk,walk,True,True,tag,add,799,7052,7851,22544,11306,238,476,0,66,0.9767,3.4112
snap=current query=point:d=2500 net=walk,walk,True,True,tag,add,834,6960,7794,22584,11324,228,456,0,57,0.9643,3.4396
snap=current query=place net=walk,walk,True,False,add,off,1046,7451,8497,23966,12017,0,0,2092,1,1.0,4.0831
snap=current query=place net=walk,walk,True,True,add,off,1046,7613,8659,24160,12114,0,0,2092,66,0.9785,4.1555
snap=current query=place net=walk,walk,True,False,add,add,1046,7703,8749,24470,12269,252,504,2092,1,1.0,4.1896
snap=current query=point:d=2500 net=walk,walk,True,False,add,off,1139,7300,8439,23908,11985,0,0,2278,1,1.0,4.2086
snap=current query=place net=walk,walk,True,True,add,add,1046,7874,8920,24682,12375,261,522,2092,66,0.9768,4.2659
snap=current query=point:d=2500 net=walk,walk,True,False,add,add,1139,7538,8677,24384,12223,238,476,2278,1,1.0,4.3092
snap=current query=point:d=2500 net=walk,walk,True,True,add,off,1139,7566,8705,24406,12235,0,0,2278,57,0.963,4.3221
snap=current query=point:d=3000 net=walk,walk,True,False,tag,off,1015,8305,9320,27430,13763,0,0,0,1,1.0,4.3243
snap=current query=point:d=2500 net=walk,walk,True,True,add,add,1139,7812,8951,24898,12481,246,492,2278,57,0.9627,4.426
snap=current query=point:d=3000 net=walk,walk,True,True,tag,off,1025,8540,9565,27786,13944,0,0,0,82,0.9744,4.448
snap=current query=point:d=3000 net=walk,walk,True,False,tag,add,1015,8601,9616,28022,14059,296,592,0,1,1.0,4.4494
snap=current query=point:d=3000 net=walk,walk,True,True,tag,add,1025,8861,9886,28428,14265,321,642,0,82,0.9712,4.5837
snap=current query=point:d=3000 net=walk,walk,True,False,add,off,1383,9320,10703,30196,15146,0,0,2766,1,1.0,5.5089
snap=current query=point:d=3000 net=walk,walk,True,True,add,off,1383,9565,10948,30552,15327,0,0,2766,82,0.9741,5.6164
snap=current query=point:d=3000 net=walk,walk,True,False,add,add,1383,9645,11028,30846,15471,325,650,2766,1,1.0,5.6463
snap=current query=point:d=2000 net=walk,walk,False,False,tag,off,698,12857,13555,32394,16197,0,0,0,1,1.0,5.7071
snap=current query=point:d=3000 net=walk,walk,True,True,add,add,1383,9912,11295,31246,15674,347,694,2766,82,0.9714,5.7631
snap=current query=point:d=2000 net=walk,walk,False,False,tag,add,698,13047,13745,32774,16387,190,380,0,1,1.0,5.7874
snap=current query=point:d=2000 net=walk,walk,False,True,tag,off,700,13218,13918,33058,16529,0,0,0,43,0.9739,5.8775
snap=current query=point:d=2000 net=walk,walk,False,True,tag,add,700,13410,14110,33442,16721,192,384,0,43,0.9739,5.982
snap=current query=point:d=2000 net=walk,walk,False,False,add,off,877,13555,14432,34148,17074,0,0,1754,1,1.0,6.4478
snap=current query=point:d=2000 net=walk,walk,False,False,add,add,877,13751,14628,34540,17270,196,392,1754,1,1.0,6.5545
snap=current query=point:d=2000 net=walk,walk,False,True,add,off,877,13918,14795,34812,17406,0,0,1754,43,0.9743,6.6436
snap=current query=point:d=2000 net=walk,walk,False,True,add,add,877,14117,14994,35210,17605,199,398,1754,43,0.9743,6.7519
snap=current query=point:d=2500 net=walk,walk,False,False,tag,off,886,19345,20231,47492,23746,0,0,0,1,1.0,9.6727
snap=current query=point:d=2500 net=walk,walk,False,False,tag,add,886,19603,20489,48008,24004,258,516,0,1,1.0,9.8132
snap=current query=place net=walk,walk,False,False,tag,off,863,19831,20694,48360,24180,0,0,0,1,1.0,9.8855
snap=current query=place net=walk,walk,False,False,tag,add,863,20107,20970,48912,24456,276,552,0,1,1.0,10.0358
snap=current query=point:d=2500 net=walk,walk,False,True,tag,off,905,20127,21032,49060,24530,0,0,0,60,0.9619,10.1387
snap=current query=place net=walk,walk,False,True,tag,off,865,20302,21167,49176,24588,0,0,0,66,0.9777,10.1423
snap=current query=point:d=2500 net=walk,walk,False,True,tag,add,905,20393,21298,49592,24796,266,532,0,60,0.9618,10.2835
snap=current query=place net=walk,walk,False,True,tag,add,865,20585,21450,49742,24871,283,566,0,66,0.9769,10.2964
snap=current query=point:d=2500 net=walk,walk,False,False,add,off,1139,20231,21370,49770,24885,0,0,2278,1,1.0,10.7053
snap=current query=place net=walk,walk,False,False,add,off,1046,20694,21740,50452,25226,0,0,2092,1,1.0,10.7534
snap=current query=point:d=2500 net=walk,walk,False,False,add,add,1139,20498,21637,50304,25152,267,534,2278,1,1.0,10.8507
snap=current query=place net=walk,walk,False,False,add,add,1046,20981,22027,51026,25513,287,574,2092,1,1.0,10.9096
snap=current query=place net=walk,walk,False,True,add,off,1046,21167,22213,51268,25634,0,0,2092,66,0.9777,11.0069
snap=current query=point:d=2500 net=walk,walk,False,True,add,off,1139,21032,22171,51338,25669,0,0,2278,60,0.9611,11.1404
snap=current query=place net=walk,walk,False,True,add,add,1046,21461,22507,51856,25928,294,588,2092,66,0.977,11.167
snap=current query=point:d=2500 net=walk,walk,False,True,add,add,1139,21307,22446,51888,25944,275,550,2278,60,0.9611,11.2901
snap=current query=point:d=3000 net=walk,walk,False,False,tag,off,1108,27915,29023,66836,33418,0,0,0,1,1.0,14.8748
snap=current query=point:d=3000 net=walk,walk,False,False,tag,add,1108,28275,29383,67556,33778,360,720,0,1,1.0,15.0707
snap=current query=point:d=3000 net=walk,walk,False,True,tag,off,1116,28772,29888,68432,34216,0,0,0,85,0.9711,15.3546
snap=current query=point:d=3000 net=walk,walk,False,True,tag,add,1116,29155,30271,69198,34599,383,766,0,85,0.9699,15.5632
snap=current query=point:d=3000 net=walk,walk,False,False,add,off,1383,29023,30406,69602,34801,0,0,2766,1,1.0,16.0761
snap=current query=point:d=3000 net=walk,walk,False,False,add,add,1383,29393,30776,70342,35171,370,740,2766,1,1.0,16.2775
snap=current query=point:d=3000 net=walk,walk,False,True,add,off,1383,29888,31271,71198,35599,0,0,2766,85,0.9711,16.5429
snap=current query=point:d=3000 net=walk,walk,False,True,add,add,1383,30283,31666,71988,35994,395,790,2766,85,0.97,16.758
